,tconst,actors,originalTitle,genres,directors,writers,averageRating,numVotes,language
7369,tt0865546,"nm2016685,nm0607375,nm0169982,nm0114460,nm0312593,nm0614658,nm1660254,nm0384514,nm0815317,nm0428065",Cape Wrath,"Drama,Mystery,Thriller","nm0163892,nm1215179,nm0908095","nm0614658,nm1660254,nm1522123,nm2072080,nm0420876",6.9,1231,en
7374,tt0865827,"nm1785238,nm0837523,nm0473873,nm0722676,nm1235266,nm1387237,nm1920556,nm1708798,nm1931870,nm1513684",Shuffle!,"Animation,Comedy,Drama","nm2395083,nm2273522,nm4817474","nm0121423,nm2923132,nm0926075,nm1387237,nm1451447,nm1393813,nm1665813,nm1234565,nm2937719,nm2971033,nm1049204",6.8,818,fr
7375,tt0865856,"nm1125347,nm1007740,nm1008415,nm1009595,nm1008557,nm1067439,nm1009233,nm0388113,nm1006546,nm1066807",VeggieTales,"Animation,Comedy,Family","nm1007740,nm0388113,nm1008415,nm1008759,nm1124954,nm1127866,nm0051642,nm0654475","nm1008415,nm1007740,nm1557883,nm0141965,nm0388113,nm0507355,nm1127866,nm2683818,nm0614742,nm0733975,nm1668694",7.2,1498,ja
7380,tt0866442,"nm1694447,nm1144419,nm1776820,nm1737500,nm2037015,nm0078897,nm2095817,nm0370035,nm0410400,nm2705765",Eastbound & Down,"Comedy,Drama,Sport","nm2095817,nm0337773,nm0570912","nm0078897,nm2095817,nm1144419,nm3347197,nm1304396,nm3916309,nm2715265,nm3926566,nm2492376,nm0637420",8.3,59259,fr
7387,tt0867005,"nm1132140,nm1279721,nm0291694,nm1368934,nm0166420,nm1544001,nm0111685,nm0184588,nm0443373,nm0098414",Pulling,"Comedy,Romance",nm0788426,"nm6895070,nm1279721,nm2393111",7.9,1605,en
7391,tt0867015,"nm0829380,nm0832792,nm1112097,nm0085330,nm6248558,nm0001314,nm0829815,nm0693271,nm0231871,nm0056466",Rebus,"Crime,Drama,Mystery","nm0308659,nm0263046,nm0295543,nm0680629,nm0601095,nm0298156","nm0060792,nm9889798,nm0113092,nm0263046,nm0308659,nm0340061,nm0378354,nm0437287,nm0614658,nm0658417,nm0710256",7.5,1993,ja
7395,tt0870039,"nm0566393,nm1920701,nm0947073,nm1065012,nm0884852,nm1740768,nm1517598,nm2426760,nm0501306,nm0590195",Growing Up Creepie,"Animation,Comedy,Family","nm0890555,nm2360322,nm2579754","nm1076885,nm1740768,nm1061376,nm1517598,nm2426760,nm2471686,nm2825353,nm2806599,nm0382655,nm0382614,nm0210483,nm0260241,nm2528552,nm0874106,nm2275921,nm0694070,nm0095685,nm0319175,nm1983565,nm0690570,nm2253278,nm7460594,nm1910191,nm1115084,nm7443931,nm1914953",7.2,523,ja
7396,tt0872301,"nm0712996,nm0879486,nm0409291,nm0452844,nm1850967,nm0386752,nm2829900,nm0971401,nm1929864,nm0860443",Aa Megamisama,"Animation,Comedy,Drama",nm0351335,nm0297814,7.2,1215,en
7398,tt0872308,"nm0745310,nm1933722,nm0847672,nm0620017,nm1327639,nm0157131,nm1192347,nm0153100,nm0523180,nm0293342",Noein: Mô hitori no kimi he,"Action,Adventure,Animation",nm0015085,nm0337493,7.5,997,ja
7400,tt0874608,"nm2032436,nm0923610,nm0289114,nm0391600,nm0296410,nm0341110,nm0869750,nm0428933,nm2370952,nm5046656",Lewis,"Crime,Drama,Mystery","nm0006624,nm0715371,nm0719886,nm0238621,nm0490838,nm0299563,nm0446232,nm0255802,nm0263046,nm0362395,nm1305344,nm0650233,nm0817811,nm0680629,nm0406177,nm0531751,nm1266701,nm2201242","nm0028672,nm0072130,nm1171030,nm9889798,nm0161410,nm0213116,nm0223294,nm2158612,nm0304475,nm4032791,nm0361927,nm0382985,nm1097366,nm3377758,nm0507714,nm1625174,nm1016235,nm0685168,nm0686786,nm0752107,nm0871734",8.1,13694,en
