,tconst,actors,originalTitle,genres,directors,writers,averageRating,numVotes,language
0,tt0088473,"nm0390806,nm0363699,nm0388971,nm0543019,nm0725409,nm0574333,nm0914023,nm0474056,nm0281777,nm0522513",Adventures in Wonderland,"Adventure,Comedy,Family","nm0357143,nm0009747,nm0421675,nm0343622","nm0123891,nm0040022,nm2482988,nm0072913,nm1099603,nm0056295,nm1134390,nm4126451,nm0140902",7.9,758,en
2,tt0096591,"nm0998180,nm0383022,nm1452155,nm0852517,nm1452197,nm1450957,nm0852301,nm1105471,nm1450654,nm0437794",Fushigi no umi no Nadia,"Action,Adventure,Animation","nm0557950,nm4108023,nm1372499,nm1709223,nm1374404,nm4107721,nm0847432,nm2044312,nm0605304,nm0383688,nm0535340,nm0030417,nm0557948,nm0556094,nm0766364,nm0605448,nm0473549,nm0436779,nm1858526,nm0840711,nm2854816","nm0594503,nm0963379,nm0894523,nm0849107,nm0030417",7.8,1867,en
4,tt0096657,"nm0889338,nm0000100,nm0956126,nm0003741,nm0038942,nm0193485,nm0806149,nm0571433,nm0359409,nm0020337",Mr. Bean,"Comedy,Family","nm0083606,nm0917992,nm0203791","nm0000100,nm0003741,nm0193485,nm0255780,nm0917992,nm0166597",8.6,121879,en
18,tt0096673,"nm0907947,nm0272474,nm0367696,nm0005089,nm0699198,nm0126202,nm0386023,nm0741775,nm0000274,nm0750852",The Outsiders,Drama,"nm0441914,nm0003763,nm0036206,nm0788454,nm0597099,nm0881306,nm0253531,nm0004886,nm0337550,nm0065568","nm0126202,nm0386023,nm0741775,nm0710887,nm0825744,nm0009145,nm0011925,nm1125153,nm0066985,nm0362146,nm0444006,nm0456918,nm0733149,nm0788454,nm3904602,nm3891537",7.3,656,en
21,tt0098749,"nm0142000,nm0000594,nm0001147,nm0000580,nm0001259,nm0823015,nm0005575,nm0004977,nm0001760,nm0851053","Beverly Hills, 90210","Drama,Romance","nm0003733,nm0150024,nm0000594,nm0385151,nm0793525,nm0004627,nm0578162,nm0926215,nm0783751,nm0002349,nm0382541,nm0106015,nm0930041,nm0485889,nm0180891,nm0452129,nm0516493,nm0109455,nm0343335,nm0484464,nm0296501,nm0270570,nm0004621,nm0667182,nm0722493,nm0218894,nm0541703,nm0070474,nm0002704,nm0248698,nm0856845,nm0132095,nm0823015,nm0141222,nm0065568,nm0064593,nm0267309,nm0528308,nm0201626,nm0791045,nm0295272,nm0364749,nm0001259,nm0471862,nm0509183,nm0000580,nm0010818,nm0006853,nm0881306,nm0003150,nm0540487,nm0914370,nm0006996,nm0744794,nm0036206,nm0271708,nm0664176,nm0574238,nm0695415,nm0638527,nm0004977,nm0001760,nm0915942,nm0005575","nm0823015,nm0834570,nm0423715,nm0072412,nm0565220,nm0913702,nm0458818,nm0597066,nm0825284,nm0252014,nm0872658,nm0073766,nm0361912,nm0742997,nm0743003,nm0332447,nm0178324,nm0280814,nm0818650,nm0529128,nm0920298,nm0118938,nm0276510,nm0924095,nm0767500,nm0326549,nm0825743,nm0144372,nm0731271,nm0578163,nm0082376,nm0104333,nm0213127,nm0012100,nm0296252,nm0251995,nm0253705,nm0765274,nm0842464,nm0783926,nm0106022,nm0826627,nm0556789,nm2456257,nm0956335,nm0053426,nm0053449,nm0231929,nm0501380,nm0767124,nm0922048,nm0395741,nm0302963,nm0678718,nm0002651,nm0919648,nm0456352,nm0005575,nm0491696,nm0686388,nm1341252,nm3175887,nm0326211",6.5,35126,en
31,tt0098752,"nm0725894,nm0935664,nm0000206,nm0384162,nm0534134,nm0137506,nm0005606,nm0667326,nm0077607,nm0001975",Bill & Ted's Excellent Adventures,"Adventure,Animation,Comedy","nm0023317,nm0527206,nm0666362,nm0813992,nm0881662,nm0680799","nm3362073,nm0227704,nm1406396,nm0330820,nm0363624,nm0433992,nm0448748,nm0523431,nm0524887,nm0524888,nm0552896,nm1130314,nm0733975,nm1115084,nm0736538,nm0805150,nm3293654,nm0918217",6.4,1827,fr
33,tt0098762,"nm1134425,nm0095531,nm0711014,nm0601982,nm0830799,nm0791183,nm0791269,nm0014873,nm0377243,nm0557619",The Adventures of Super Mario Bros. 3,"Adventure,Animation,Comedy",nm0344686,"nm0594427,nm0791183,nm0791269,nm0095685,nm0602922,nm1088324,nm0330820,nm0363624,nm0552896,nm0733975,nm0251395,nm1333890,nm0371051,nm0390503,nm2270931,nm0561041,nm0669960",7.1,1747,en
36,tt0098763,"nm0382375,nm0167995,nm0214114,nm0815718,nm0000996,nm1028310,nm0877894,nm0995452,nm0287482,nm0363624",Captain Planet and the Planeteers,"Action,Adventure,Animation","nm0240548,nm0739605,nm0582798,nm0680799,nm0666362,nm0617106,nm0205621","nm1028310,nm0877894,nm0995452,nm0287482,nm0363624,nm0382375,nm0518773,nm1032103,nm0769887,nm0109160,nm0220297,nm1130314,nm4397706,nm0020176,nm0403579,nm0602922,nm0371051,nm0669960,nm0730442,nm1415374,nm1418571,nm0782402,nm0561041,nm0552896,nm1332943,nm0140170,nm0140836,nm0283897,nm0007208,nm0611100,nm1179170,nm0566407,nm0969722,nm4398105,nm0774792,nm0791183,nm0791269,nm0228442,nm2696029,nm0330820,nm2404596,nm1455102,nm0572397,nm3362073,nm0625592,nm0641687,nm0214114,nm6443516,nm0251395,nm0441743,nm0095685,nm0617106,nm0558425",6.7,12039,en
44,tt0098765,"nm0557292,nm0107950,nm0362570,nm0769315,nm0420010,nm0132293,nm0891092,nm0443016,nm0002242,nm0255065",The Case-Book of Sherlock Holmes,"Crime,Drama,Mystery","nm0003201,nm0358759,nm0398275,nm0490594,nm0006960,nm0801121","nm0100928,nm0152509,nm0236279,nm0370058,nm0394165,nm0666875",8.7,5832,fr
51,tt0098774,"nm0125511,nm0639782,nm1547964,nm0876128,nm0139159,nm1354458,nm1639981,nm0961826,nm1636647,nm0079293",The Crystal Maze,"Adventure,Comedy,Family","nm0109273,nm0188463","nm0031149,nm8668259,nm1354458,nm1639981,nm0961826,nm1636647,nm8668260,nm8668261,nm8670504,nm8668135,nm0079293",8.1,1762,en
55,tt0098780,"nm0557758,nm0000903,nm0226986,nm0005176,nm0218394,nm0186331,nm0442035,nm0933332,nm0571106,nm0430617",Dream On,Comedy,"nm0858525,nm0000484,nm0938660,nm0762541,nm0385151,nm0049975,nm0545763,nm0571106,nm0485637,nm0043560,nm0109159,nm0827972,nm0005316,nm0320180,nm0006996,nm0257554,nm0442008,nm0001573,nm2036635,nm0589106,nm0938201,nm0384185,nm0331989,nm0697676,nm0809321,nm0000913,nm0240984,nm0518719,nm0540532,nm0025475,nm0925441","nm0186331,nm0442035,nm0257145,nm0339211,nm0833821,nm0174885,nm0329985,nm0561826,nm0940136,nm0458292,nm0695080,nm0714246,nm0767530,nm0388849,nm0606594,nm0299236,nm0358976,nm0505741,nm0444089,nm0193454,nm0539719,nm0773957,nm0213385,nm0476274,nm0746687,nm0406858,nm0463172,nm0521541,nm0616083,nm0888979,nm0442008,nm0036961,nm0503167,nm0178547,nm0147092,nm0380981,nm0532271,nm0558897,nm0011925,nm0178769,nm0329047,nm4289032",7.6,3530,en
60,tt0098781,"nm0479925,nm0669345,nm0712575,nm0842581,nm0867017,nm0357725,nm0420746,nm0927002,nm0242080,nm0236500",Drop the Dead Donkey,Comedy,"nm0646187,nm0357725","nm0357725,nm0420746,nm0932096,nm0720806,nm0006396,nm1080807,nm0569874",8.0,1461,en
62,tt0098790,"nm0917190,nm0000608,nm0039051,nm0000447,nm0001115,nm0089124,nm0001164,nm0272474,nm0005052,nm0662314",Evening Shade,Comedy,"nm0000608,nm0859707,nm0358996,nm0825731,nm0000913,nm0717650,nm0290869,nm0094894,nm0459658,nm0005052,nm0258405,nm0258748,nm0320180,nm0001652","nm0089124,nm0722610,nm0629572,nm0106257,nm0743693,nm0294355,nm0358996,nm0164496,nm0589357,nm0388849,nm0963348,nm0000608,nm0295636,nm0926836,nm0958521,nm0109785,nm0269226,nm0919735,nm0224482,nm0083349,nm0960722,nm0927544,nm0523299,nm0726131",7.0,1382,en
66,tt0098798,"nm0588241,nm0794128,nm0005301,nm0246373,nm0195101,nm0082677,nm0210290,nm0541290,nm0312973,nm0001938",The Flash,"Action,Crime,Fantasy","nm0044524,nm0082676,nm0082677,nm0872809,nm0410769,nm0003497,nm0762674,nm0176448,nm0005710,nm0500609,nm0793525","nm0082677,nm0210290,nm0154674,nm1052932,nm0382724,nm0368954,nm0873449,nm3012185,nm1189346,nm0408639,nm1189825,nm1764901,nm0714184,nm0370928,nm0370937,nm0628057,nm0782964,nm0804233,nm0903449",7.1,7531,en
73,tt0098800,"nm0399494,nm0000226,nm0043041,nm0005355,nm0004700,nm0097273,nm0097275,nm0663854,nm0545186,nm0717227",The Fresh Prince of Bel-Air,Comedy,"nm0421675,nm0578162,nm0265954,nm0187892,nm0899085,nm5165734,nm0899330,nm0000739,nm0470153,nm0907439,nm0676592,nm0912528,nm0005355","nm0097273,nm0097275,nm0575656,nm0689385,nm0742792,nm0931638,nm0800111,nm0712904,nm0958412,nm0724839,nm0306584,nm0935680,nm0931223,nm0781508,nm0331212,nm0348765,nm0685735,nm0811942,nm0969183,nm0381161,nm0099618,nm0588375,nm0548715,nm0972395,nm1447614,nm0788420,nm0968998,nm0534983,nm3169834,nm0972444,nm0009178,nm0021175,nm0725983,nm0115572,nm0850696,nm0101337,nm0122497,nm6303953,nm0969171,nm0628074,nm0095504,nm0970005,nm0743514,nm0970542,nm0544622,nm1155839,nm0000226,nm0972381,nm0395923,nm0463176,nm0748860,nm0026694,nm0122084,nm0189137,nm0235925,nm0308194,nm0326247,nm0376429,nm0389668,nm0780160,nm2372419,nm0932831,nm0969899,nm0872621,nm0911865,nm0943535",7.9,136543,en
84,tt0098802,"nm0089603,nm0254402,nm0254387,nm0726939,nm0231942,nm0592400,nm0720304,nm0730168,nm0296791,nm0236519",Get a Life,"Comedy,Fantasy","nm0592400,nm0049975,nm0382722,nm0661751,nm0287198,nm0235638,nm0825731","nm0254402,nm0592400,nm0720304,nm0644022,nm0343440,nm0672554,nm0293749,nm0548715,nm0442109,nm0724842,nm0247695,nm0298975,nm0348795,nm0174885,nm0329985,nm0004985",8.1,2816,fr
86,tt0098803,"nm0814358,nm0191490,nm0551049,nm0277535,nm0164647,nm0640352,nm0397398,nm0118053,nm0780149,nm0621031",The Girl from Tomorrow,"Adventure,Family,Fantasy","nm0611072,nm0697074","nm0794397,nm0861028",8.0,1238,en
87,tt0098820,"nm0167340,nm0386810,nm0581615,nm0213291,nm0035602,nm0104476,nm0357725,nm1296679,nm0633665,nm0214177",Have I Got News for You,"Comedy,Game-Show,News","nm0923935,nm0262986,nm0636116,nm0520471,nm0817989,nm0298176,nm7972263,nm2653301,nm0810026","nm7726910,nm3097097,nm3729020,nm10234303,nm11931555,nm9071873,nm11078973,nm13539094,nm10327653,nm8057097,nm4462956,nm0171837,nm0175383,nm9071874,nm2223946,nm4770479,nm0206470,nm10379196,nm1150495,nm10234304,nm9107179,nm11951787,nm7760281,nm11968373,nm4940206,nm3552340,nm3717273,nm7344042,nm5073652,nm0309420,nm11687778,nm9705413,nm5917638,nm9853017,nm14209150,nm9760118,nm6752709,nm5047122,nm3382631,nm3418686,nm4237836,nm10464355,nm8844151,nm5697130,nm5323941,nm9071875,nm10327654,nm10775745,nm12995799,nm5701082,nm11083064,nm5413806,nm1493629,nm11988238,nm8641065,nm8883034,nm5897500,nm9491394,nm14096541,nm1711235,nm0663822,nm9806448,nm9705414,nm1398904,nm0683346,nm0701445,nm4083993,nm4304100,nm11083065,nm2870358,nm12974313,nm11065470,nm0801703,nm4192742,nm8622923,nm6898547,nm0824540,nm3334440,nm0841997,nm7457304,nm2444593,nm4461214,nm5075542,nm6966546,nm9071876,nm8516161,nm1270623",7.9,5213,en
92,tt0098830,"nm0915462,nm0005540,nm0000120,nm0168907,nm11886288,nm0004979,nm0450857,nm0203508,nm1143756,nm0149940",In Living Color,"Comedy,Music","nm0589106,nm0566810,nm0001609,nm0008956,nm0343622,nm0046943,nm0891054,nm0806416,nm0926938,nm0805226","nm0005540,nm0278635,nm0891541,nm0276248,nm0790771,nm0001834,nm0932832,nm0867012,nm0046943,nm0806416,nm0932831,nm0000120,nm0551979,nm0771484,nm0367046,nm1322968,nm1032260,nm0101337,nm0060076,nm0336226,nm0064556,nm0644203,nm1249059,nm0771790,nm0619868,nm1831960,nm0242586,nm0667312,nm1113231,nm0048169,nm0427993,nm5333675,nm0780420,nm0780643,nm0897884,nm0811360,nm0926938,nm0014977,nm0172373,nm0234956,nm1447614,nm0295314,nm0867690,nm0600763,nm0130360,nm0867195,nm0810948,nm0459679,nm1847838,nm0748028,nm1350973,nm0097922,nm0507234,nm0106373,nm0338337,nm0369292,nm0859637,nm0445552,nm0703800,nm0972395,nm0430617,nm0475446,nm0005541,nm0004979,nm0203508,nm0001674,nm0450857,nm0004937,nm0915462,nm0915465,nm0005547,nm0499343,nm0507338",8.1,11714,fr
97,tt0098833,"nm0607971,nm0000410,nm0491402,nm0228960,nm0206043,nm0934451,nm0876519,nm0940407,nm0728085,nm0284045",Jeeves and Wooster,Comedy,"nm0265564,nm0486748,nm0950000","nm0264088,nm0937289",8.4,12624,en
101,tt0098837,"nm0057695,nm0746151,nm0842578,nm0400616,nm0180498,nm0856720,nm0587688,nm0341155,nm0321241,nm0915991",Keeping Up Appearances,Comedy,nm0811185,nm0164983,7.8,16535,en
108,tt0098844,"nm0000669,nm0001583,nm0552509,nm0001199,nm0580924,nm0937725,nm1157808,nm0001832,nm0384696,nm0376890",Law & Order,"Crime,Drama,Mystery","nm0002339,nm0851930,nm0924693,nm2343031,nm0053157,nm0225416,nm0551358,nm0049569,nm0067090,nm0076167,nm0101908,nm1062017,nm0135529,nm0343622,nm0005113,nm0385151,nm0737533,nm0001835,nm0124079,nm0500685,nm0538744,nm0792309,nm0003167,nm0686853,nm0229650,nm0671992,nm0769135,nm0593576,nm0592808,nm0211523,nm0703867,nm0286517,nm0332434,nm0696309,nm0841416,nm0755261,nm0152650,nm0570995,nm0314104,nm0616254,nm0076681,nm0292419,nm0592813,nm0552140,nm0914368,nm0355285,nm0319412,nm0921625,nm0925870,nm0733415,nm0282648,nm0581589,nm0505660,nm1392007,nm0005522,nm0180891,nm0036206,nm0371348,nm0793525,nm0793455,nm0006853,nm0227781,nm0458473,nm0873266,nm0002726,nm1950996,nm0203429,nm0294350,nm0666274,nm0000712,nm0003497,nm0846070,nm0002704,nm0505697,nm0608575,nm0064593,nm0337675,nm0372133,nm0490658,nm0439536,nm0203215,nm0709984,nm0054077,nm0735504,nm0000655,nm0908833,nm0002835,nm0001282,nm0825513,nm0004610,nm0918873,nm0171315","nm0937725,nm0049569,nm0842478,nm0958418,nm0155961,nm0285969,nm0622250,nm1157808,nm0061541,nm0085242,nm0566552,nm0710787,nm0772049,nm0514778,nm0936976,nm1661496,nm0657970,nm0771814,nm1243918,nm2040540,nm0003948,nm0653899,nm0805133,nm1626496,nm0312663,nm0224639,nm1463273,nm0770699,nm0338396,nm0514445,nm0973233,nm0024386,nm2059056,nm0794914,nm1237173,nm1173204,nm5181443,nm0827695,nm0541080,nm0552588,nm0326086,nm0465863,nm0998318,nm0625931,nm0271139,nm0176689,nm0413005,nm0136262,nm1238801,nm0941370,nm0827749,nm0605156,nm0694130,nm1625195,nm0307106,nm0675204,nm0641791,nm0517316,nm0277925,nm1072572,nm1740776,nm0960450,nm0506027,nm1773678,nm0724589,nm0126290,nm0745733,nm0338570,nm0452514,nm0690069,nm0713131,nm0718234,nm0657408,nm0361905,nm0952502,nm0271123,nm0171927,nm0102840,nm0568459,nm0089907,nm0589043,nm0899187,nm0312168,nm0573850,nm0712680,nm0035024,nm0542684,nm0702804,nm0813341,nm0198068,nm0548719,nm0728643,nm0855313,nm0934574,nm0000285,nm7107485,nm0625214,nm0651949,nm0770359,nm0855549,nm0864963,nm0894628,nm1449969,nm0865251,nm0304461,nm0942753,nm1541762,nm1785725,nm1593182,nm0686388,nm0961577,nm0843981,nm0115200,nm1265957,nm1238925,nm2316769,nm0727776,nm2604261,nm12246080,nm5665780,nm10841233",7.8,39874,en
120,tt0098878,"nm0587111,nm0001555,nm0005508,nm0179224,nm0191633,nm0104481,nm0266519,nm0123261,nm0179173,nm0311280",Northern Exposure,"Comedy,Drama","nm0294350,nm0545763,nm2036635,nm0003150,nm0900135,nm0153191,nm0371348,nm0002704,nm0003733,nm0004627,nm0141222,nm0810553,nm0661751,nm0185734,nm0640964,nm0733415,nm0571202,nm0779641,nm0784388,nm0104481,nm0503598,nm0850862,nm0070474,nm0546765,nm0914370,nm0106015,nm0589168,nm0601963,nm0633818,nm0155117,nm0570219,nm0035060,nm0171315,nm0395317,nm0621137,nm0679855,nm0697910,nm0516493,nm2565870,nm0337550,nm0667182","nm0104481,nm0266519,nm0296286,nm1053841,nm0773697,nm0121331,nm0578536,nm0039748,nm0250735,nm0900599,nm0355329,nm0111303,nm1052034,nm0379126,nm0624645,nm0164496,nm1027107,nm0458818,nm0742997,nm0821466,nm0913702,nm0011849,nm0462816,nm0756067,nm0901428,nm0100326,nm0675204,nm0969993,nm0742097,nm0003994,nm0229637,nm0007016,nm0153740,nm0782360,nm0825284,nm0118938,nm0391106,nm0518711",8.3,17204,ja
126,tt0098882,"nm0371341,nm0934014,nm0188950,nm0544140,nm0003859,nm0213291,nm0245207,nm0719927,nm0676449,nm0591366",One Foot in the Grave,"Comedy,Drama","nm0067621,nm0314641,nm0350323",nm0719927,7.9,6791,en
128,tt0098888,"nm0821048,nm0005269,nm0419747,nm0805331,nm0153589,nm0224670,nm0680312,nm0108315,nm0072344,nm0426298",Parker Lewis Can't Lose,"Comedy,Fantasy","nm0789834,nm0818465,nm0419865,nm0578162,nm0278286,nm0513853,nm0003163,nm0855035,nm0248054,nm0850862,nm0589168,nm0387605,nm0101385","nm0224670,nm0680312,nm0189101,nm0818434,nm0056462,nm0643824,nm0658892,nm0833932,nm0169325,nm0776107,nm0027446,nm0510450,nm1134390,nm0839966,nm0135203,nm0213377,nm0487414,nm0546179,nm0213127,nm0842464",7.9,5819,en
134,tt0098891,"nm0318027,nm0005189,nm0045209,nm0220635,nm0486095,nm0930568,nm0000347,nm0021596,nm0579914,nm0137262",Peter Pan and the Pirates,"Adventure,Animation,Family",nm0933621,"nm3071117,nm0399252,nm0492969,nm0140170,nm0140836,nm0538842,nm0733975,nm0653857,nm0358986,nm0601649,nm0714184,nm0367238,nm1015758,nm0952420,nm0442104,nm0228489,nm1080572,nm1084235,nm0095685,nm0137936,nm0371051,nm4192059,nm2823519,nm0663328,nm0669960,nm0769593,nm0773919,nm0826978,nm0903642,nm0057381",7.2,674,ja
137,tt0098898,"nm0101540,nm0000545,nm0071007,nm0370343,nm0068552,nm0942712,nm0254879,nm0265492,nm0280416,nm0862907",Prime Suspect,"Crime,Drama,Mystery","nm0578757,nm0834378,nm0238621,nm0205289,nm0393799,nm0027413,nm0006960,nm0546159,nm1530431","nm0028672,nm0077654,nm0082448,nm0190930,nm0212573,nm0213234,nm0382505,nm0478852,nm0642972",8.3,8249,ja
142,tt0098900,"nm0393882,nm0072124,nm0128119,nm0749316,nm0807649,nm0570448,nm0123201,nm0952779,nm0001631,nm0186219",Road to Avonlea,"Adventure,Drama,Mystery","nm0564260,nm0071514,nm0361528,nm0193512,nm0768737,nm0393496,nm0685923,nm0006658,nm0095080,nm0247621,nm0132490,nm0528308,nm0512052,nm0106284,nm0101896,nm0089276,nm0839660,nm0793525,nm0296501,nm0788610,nm0318795,nm0454437,nm0471862","nm0599844,nm0570448,nm0174673,nm0560108,nm0832491,nm0533781,nm0669319,nm0361274,nm0622217,nm0184302,nm0493873,nm0237705,nm0414798,nm3545266,nm0914821,nm1223282,nm0940613,nm0011950,nm0059721,nm1121908,nm0602037,nm0378130,nm0390415",8.5,4499,fr
146,tt0098912,"nm0751154,nm0862298,nm0694375,nm0048982,nm0376296,nm0075259,nm0445808,nm0429471,nm0681975,nm0001116",The Silver Chair,"Adventure,Family,Fantasy",nm0456110,"nm0507000,nm0786795",7.1,2024,en
148,tt0098919,"nm0925738,nm0152464,nm0244270,nm0308465,nm0703509,nm0616661,nm0954337,nm0301794,nm0001863,nm0531333",Swamp Thing,"Horror,Sci-Fi","nm0902467,nm0101304,nm0574238,nm0002413,nm0066548,nm0235638,nm0090667,nm0337675,nm0221265,nm0002989,nm0452607,nm0803410,nm0088981,nm0160952","nm0088981,nm0925738,nm0780798,nm0205319,nm0617153,nm0723200,nm0825010,nm2543249,nm2561541,nm0338936,nm0126327,nm0625782,nm0390803,nm0602962,nm0340732,nm0148971,nm0487102,nm0510450,nm0324870,nm2561772,nm0103784,nm0228489,nm2543356,nm0264358,nm0324466,nm0714184,nm0956002,nm0868269,nm0487049,nm0323262,nm0447406,nm0584251,nm0918083,nm0942951",6.3,992,ja
152,tt0098924,"nm0584367,nm0318027,nm0931493,nm0001783,nm0191906,nm0289710,nm0012121,nm0564841,nm0919798,nm0419645",TaleSpin,"Action,Adventure,Animation","nm0593420,nm0853074,nm0490099,nm0315695,nm0907822","nm0122334,nm0188349,nm2362423,nm3143657,nm0249133,nm0249134,nm0315324,nm0385922,nm0465576,nm0506718,nm0506719,nm0606407,nm0672968,nm0731602,nm4040631,nm0743361,nm0561026,nm0824900,nm0834669,nm0839966,nm1041668,nm1044473,nm0848091,nm1116793,nm0880204,nm1646429,nm0953650",7.5,15191,en
158,tt0098929,"nm0177528,nm0012121,nm0440885,nm0534134,nm0016085,nm0806640,nm0582106,nm0919798,nm0838588,nm0005606",Tiny Toon Adventures,"Adventure,Animation,Comedy","nm0102061,nm0036946,nm0502800,nm0899982,nm0891147,nm0125340,nm0319791,nm0280222,nm0129672,nm0922015,nm0049914,nm0565811,nm0448050,nm0550825,nm0000647,nm0564495,nm0186038,nm0313976,nm0721491,nm0304432","nm0227704,nm0832300,nm0749161,nm0390890,nm0591741,nm0714114,nm0107780,nm0433992,nm0397916,nm0368614,nm0280222,nm0470928,nm0579912,nm0646818,nm0354880,nm0652999,nm0140105,nm0097130,nm0382512,nm1707665,nm0863622,nm0899982,nm0020176,nm0403579,nm0418116,nm0486405,nm0565119,nm0228772,nm0382655,nm0382614,nm0036946,nm0842150,nm2452999,nm0815071,nm2691451,nm0129672,nm0169325,nm0234837,nm0330820,nm1085846,nm0611100,nm2352306,nm0714184,nm1587020,nm0776107,nm0806640,nm6421980,nm1388861,nm1388962,nm2671290,nm1198142,nm0448748,nm0561941,nm0589278,nm0633637,nm0721491,nm1127374,nm0953968,nm0012121,nm0564885,nm0564254,nm1014216,nm0131968,nm0471136,nm0808723",7.5,13563,en
166,tt0098936,"nm0296583,nm0001492,nm0648920,nm0000749,nm0000796,nm0004111,nm0000186,nm0000937,nm0001223,nm0000145",Twin Peaks,"Crime,Drama,Mystery","nm0000186,nm0322128,nm0221042,nm0242271,nm0006853,nm0390844,nm0711696,nm0166625,nm0004111,nm0248942,nm0001226,nm0350455,nm0000473,nm0762674","nm0004111,nm0000186,nm0679037,nm0257306,nm0700463,nm0110644,nm0296567,nm0821466",8.8,200013,en
177,tt0098945,"nm0040068,nm0189561,nm0170789,nm0384164,nm0245207,nm0869628,nm0668428,nm0082689,nm0393965,nm1807079",Waiting for God,Comedy,"nm0126448,nm0350323",nm0014902,7.8,1868,en
181,tt0098948,"nm0002006,nm0004857,nm0001836,nm0004751,nm0775116,nm0029628,nm0143517,nm0497115,nm0776042,nm0001724",Wings,"Comedy,Drama","nm0578162,nm0307680,nm0009953,nm0685736,nm0497115,nm0073489,nm0505867,nm0060892,nm0321255,nm0123273,nm0684784,nm0094288","nm0029628,nm0143517,nm0497115,nm0348795,nm0506160,nm0352396,nm0718459,nm0126386,nm0438612,nm0765009,nm0515953,nm0725037,nm0315386,nm0224590,nm0759167,nm0888979,nm0456657,nm0515941,nm0321255,nm0484485,nm0493857,nm0050960,nm0711298,nm0410539,nm0505867,nm0004277,nm0935680,nm0178769,nm0329047,nm0048630,nm0576442,nm0494983,nm6583522,nm0566653,nm0046322,nm0423583,nm0444517",7.3,13281,en
189,tt0098957,"nm0520837,nm0131773,nm0716516,nm0896116,nm0098709,nm0201688,nm0878951,nm0381117,nm0956544,nm0136081",Zorro,"Adventure,Family,Romance","nm0042500,nm0505900,nm0224701,nm0567228,nm0766191,nm0892144,nm0660101,nm0764781","nm0191547,nm0567228,nm0853010,nm0487049,nm0591101,nm0988859,nm0458764,nm1068501,nm1267275,nm0095590,nm0095591,nm0642177,nm0989840,nm0991341,nm0295357,nm0989358,nm0548921,nm0616851,nm0696301,nm0991400,nm2233659,nm6149973,nm0348198,nm0726070,nm0768226,nm0390872,nm1376142,nm0330108,nm0991357,nm0991396",6.8,1800,en
192,tt0099363,"nm0858186,nm0002027,nm0085584,nm0299474,nm0324790,nm0193303,nm0330687,nm0491085,nm0693531,nm0824489",Dark Shadows,"Drama,Horror,Romance","nm0193303,nm0101385,nm0528420,nm0557857,nm0811764,nm0355888","nm0193303,nm0270841,nm0095589,nm0132116,nm0355888,nm0601544,nm0337008,nm0694130,nm0851392,nm0356075,nm0908526,nm0866545",7.5,2038,en
196,tt0100044,"nm0757058,nm0476223,nm0879486,nm0945322,nm0848987,nm0619077,nm0651184,nm0716387,nm0741227,nm0615567",Rôdosu-tô senki,"Action,Adventure,Animation","nm0619141,nm4301682,nm1709223,nm2020781,nm0756991,nm0945226","nm1062445,nm0594686,nm0913834,nm4290828",7.6,2665,en
200,tt0101032,"nm0449645,nm0485689,nm0647653,nm0385133,nm0681743,nm0118467,nm0072552,nm0146061,nm0809131,nm0731630",2point4 Children,Comedy,"nm0090877,nm0939917,nm0401982","nm0550744,nm1776857",6.9,1538,ja
202,tt0101042,"nm0005079,nm0442120,nm0144657,nm0001855,nm0638557,nm0301826,nm0000709,nm0000502,nm0005460,nm0713148",Back to the Future,"Adventure,Animation,Family","nm0715636,nm0301826,nm0371082,nm0732989","nm0301826,nm0000709,nm0523431,nm0524887,nm0458350,nm0002803,nm1462980,nm3103517,nm0715636,nm0433992,nm0884131",6.3,1650,en
209,tt0101050,"nm0001370,nm0080524,nm0001883,nm0005129,nm0913637,nm0720009,nm0832989,nm0400464,nm0489476,nm0206236",Blossom,"Comedy,Drama,Family","nm0006975,nm0084642,nm0913637,nm0432627,nm0049975,nm0925870,nm0074050,nm0400958,nm0697676,nm0291089,nm0441630","nm0720009,nm0021453,nm0358950,nm0581725,nm0908409,nm0773536,nm0326247,nm0697676,nm0725075,nm0769648,nm0441630,nm0169295,nm0695451,nm0781522,nm0412287,nm0674266,nm0855111,nm1420614,nm0624133,nm0720008,nm0195177,nm0380981,nm1054506,nm0448545,nm0484686,nm0872621,nm0493858,nm0308194",6.1,8600,en
216,tt0101054,"nm0283512,nm0057368,nm0861664,nm0122799,nm0550173,nm0270391,nm0635925,nm0692282,nm0371846,nm0338421",The Brittas Empire,Comedy,"nm0827107,nm0314641","nm0270391,nm0635925,nm0203349,nm0587636,nm0909225,nm0898733,nm0477310,nm1776857",7.1,3497,en
217,tt0101065,"nm0940990,nm0004997,nm0956559,nm0381454,nm0640382,nm0471233,nm0641941,nm0248493,nm0121994,nm0494845",Clarissa Explains It All,"Comedy,Family","nm0899085,nm0831968,nm0861630,nm0687390,nm0491572,nm1058339,nm0274179,nm0826242,nm0954274","nm0471233,nm0064842,nm0677956,nm0612588,nm3154337,nm0432612,nm4766535,nm0329001,nm1056741,nm1031198,nm0555658,nm0011849,nm0756067,nm0122899,nm0251550,nm0300756,nm0367046,nm0918217,nm0096940,nm0509425,nm2777101,nm1154103,nm0831968,nm0851945,nm0148843,nm3092825",7.1,9185,en
